0,4,Photography,Vehicles,Cosmetics,11.684154591657158,10.3292796680971
381,4,Television programme,Restaurants,Coffeehouses,5.385721039520636,7.888126084960347
382,4,Video games,Restaurants,Coffeehouses,9.390603099804943,5.430705542446965
383,5,Sales,Television programme,TV chat shows,7.8462793497044245,14.822137601277536
384,5,Restaurants,Pets,Travel,9.97569828363088,22.282738693396155
385,4,Television programme,TV chat shows,TV comedies,10.278623375237405,9.171939329534158
386,4,Games,Television programme,TV chat shows,19.67645814948807,17.958635308291107
387,3,Live events,Television programme,Restaurants,19.90663036258559,0.5485343953567661
388,4,Video games,Vehicles,4x4s,7.461540748454091,13.951438737983338
389,4,Video games,Music,Vehicles,9.03566655720373,16.132312248769864
390,3,Personal finance,Vehicles,4x4s,14.186994178878738,12.379733985773475
391,3,Music,Restaurants,Televisions,23.564146089136162,7.890795078892843
392,4,Restaurants,Coffeehouses,Diners,13.162600770015223,11.367589592820591
393,3,Television programme,TV chat shows,TV comedies,4.639831595952167,7.25632992851569
394,4,Music,Television programme,TV chat shows,8.717898189784345,15.974212468457674
395,4,Music,Restaurants,Coffeehouses,14.260221282902775,2.791187640795899
396,4,Television programme,Restaurants,Computers,1.512630952854785,23.873763154838734
397,5,Television programme,TV chat shows,Restaurants,11.813464154329814,22.724414571196327
398,5,Home and garden,Sports,American football,8.325873822546093,29.833070807252103
399,4,Music,Television programme,Restaurants,21.7354296237028,9.322617693704672
400,4,Sales,Online shopping,Football,25.527640921868247,0.3238628318556991
401,4,Restaurants,Coffeehouses,Diners,0.6222220818080082,17.18213833606255
402,4,Games,Television programme,Restaurants,4.044747903202785,0.7316593342514413
403,5,Video games,Television programme,Restaurants,5.637848326766747,16.60238104397834
404,5,Reading,Television programme,Restaurants,0.4541307337344396,17.42716990996024
405,4,Television programme,Friendship,Restaurants,13.067635518027313,14.651982926331057
406,5,Business,Television programme,Restaurants,20.762252743845053,21.888044995860984
407,4,Television programme,Restaurants,Vehicles,3.602871452187123,16.585426475480986
408,5,Television programme,TV chat shows,TV comedies,13.256317972314186,17.890830045426892
409,4,Television programme,TV chat shows,TV comedies,13.08434738246211,19.800892811379413
410,5,Television programme,Travel,Sports,10.966764608777307,13.321501267739858
411,4,Television programme,TV chat shows,TV comedies,6.457516013322712,15.019889792503578
412,5,Films,Food,Restaurants,11.971231263852818,25.760596043521623
413,3,Television programme,Restaurants,Vehicles,6.986979606209958,8.466858170159771
414,4,Television programme,TV chat shows,Photography,15.616234059542656,17.964118824834614
415,4,Rock music,Vehicles,Beauty,2.700846029460787,21.366343403424256
416,5,Restaurants,Travel,Adventure travel,11.409415229634948,7.605003007848757
417,0,Television programme,Restaurants,Mobile phones,8.809464370489454,1.9655326971388654
418,4,Television programme,TV chat shows,TV comedies,17.125317257571197,18.65897475480719
419,5,Games,Television programme,Restaurants,3.4534462867979085,10.940603087125144
420,6,Television programme,Restaurants,Coffeehouses,7.0141714365409396,26.156241546972744
421,3,Television programme,TV chat shows,TV comedies,21.95201786221879,14.193344547330696
422,5,Restaurants,Coffeehouses,Diners,11.316239652598378,20.243848901388457
423,4,Restaurants,Arts and music,Travel,3.1458238967819634,13.962187654214164
424,4,Films,Restaurants,Coffeehouses,10.564324759477271,12.919202267381777
425,5,Films,Television programme,TV chat shows,15.605108120629602,4.599695471360837
426,5,Television programme,Arts and music,Acting,10.783905452926236,10.172980071418772
427,4,Television programme,Arts and music,Acting,10.811406501550831,20.200772181103737
428,4,Television programme,TV chat shows,TV comedies,17.282165859058793,0.31049366059546024
429,6,Television programme,Restaurants,Coffeehouses,0.7142852045849395,6.489035149084026
430,4,Television programme,Restaurants,Televisions,14.713635133009067,16.527265826947634
431,3,Television programme,TV chat shows,TV comedies,6.8558319186401775,17.938823337978004
432,3,Television programme,Restaurants,Coffeehouses,17.11655484687634,17.00373912443376
433,3,Games,Music,Restaurants,9.858850729670003,17.811325297234223
434,4,Reading,Restaurants,Coffeehouses,11.880551262065456,16.628388224057545
435,3,Music,Cosmetics,Sports,19.200259196115017,10.914538826887616
436,4,Television programme,TV chat shows,Restaurants,14.17635696876686,18.331697728566198
437,5,Television programme,TV chat shows,TV comedies,7.930024911027221,10.596298120424517
438,4,Television programme,Arts and music,Acting,7.769662058660056,7.138063693762065
439,4,Television programme,TV chat shows,Restaurants,10.613235884552841,34.839563890773285
440,4,Music,Television programme,Restaurants,13.344760444962848,13.240816134317036
441,4,Television programme,Restaurants,Vehicles,2.526488725713712,4.765944070337181
442,4,Live events,Television programme,Pets,0.5063678598455503,2.372026819335181
443,4,Games,Television programme,Arts and music,10.453612764529385,4.527076868770314
444,5,Music,Drinks,Vehicles,11.392024593619887,15.542321381457295
445,3,Television programme,Restaurants,Vehicles,7.953591431486478,28.49553568434601
446,3,Television programme,TV chat shows,Restaurants,10.21542455362303,3.3680461252945673
447,4,Games,Television programme,Restaurants,5.947867122065276,10.788264381238477
448,4,Personal finance,Television programme,TV chat shows,33.054578149392725,25.731866984697383
449,5,Games,Music,Vehicles,6.732108721976251,32.39857879043444
450,5,Pop music,Drinks,Vehicles,12.082324622787551,0.6656243403272821
451,0,Live events,Television programme,TV chat shows,5.475706514186805,3.1297604661703726
452,3,Television programme,Travel,Beauty,11.979815978403101,1.7882176725715837
453,5,Television programme,Restaurants,Vehicles,18.29838131165676,15.731580756883805
454,5,Television programme,TV chat shows,Restaurants,18.754489945383703,22.315833285263082
455,3,Television programme,Arts and music,Acting,10.924739390550052,21.79404647593766
456,5,Restaurants,Coffeehouses,Diners,7.4212372164801215,40.50177593521196
457,1,Restaurants,Coffeehouses,Photography,4.115234820043141,6.839771811972816
458,4,Television programme,Food,Restaurants,12.120822417184723,19.164656004612795
459,1,Vehicles,4x4s,Automobiles,7.942007635867685,19.84943579743169
460,5,Television programme,Restaurants,Software,5.819232783754394,44.426185239216345
461,5,Television programme,Restaurants,Vehicles,8.288266575246464,2.3729014716001675
462,3,Films,Live events,Restaurants,1.5070588597055927,3.5640889468081784
463,4,Television programme,TV chat shows,TV comedies,10.453887790500422,15.515848046416739
464,4,Television programme,TV chat shows,TV comedies,1.0463938267751764,30.85516939835636
465,3,Television programme,Restaurants,Vehicles,9.724306703913204,4.970284715139595
466,4,Rock music,Television programme,TV chat shows,3.4128143053632423,5.407820872873236
467,4,Music,Restaurants,Coffeehouses,11.475262220358507,5.6977412233523665
468,3,Games,Television programme,TV chat shows,11.20080246814552,7.059212692778493
469,4,Vehicles,4x4s,Automobiles,4.036971492603572,9.599437502220496
470,5,Music,Vehicles,4x4s,12.008006521126433,6.714112877089966
471,6,Video games,Arts and music,Politics and social issues,2.7347172057356604,12.413695594514957
472,4,Restaurants,Coffeehouses,Diners,8.115802395172285,25.555756686400905
473,4,Television programme,TV chat shows,Restaurants,15.650988164194239,12.254053227088203
474,3,Music,Drinks,Travel,9.236368395723686,10.45740930672317
475,4,Television programme,TV chat shows,TV comedies,4.303971350539869,32.35166604858052
476,6,Restaurants,Consumer electronics,Reading,9.008384298481257,20.372390020885273
477,4,Reading,Vehicles,4x4s,2.982391392993758,7.217518659321642
478,4,Television programme,Restaurants,Coffeehouses,16.696451675650792,15.12625572034814
479,5,Restaurants,Coffeehouses,Diners,15.89402375015019,20.417188427485016
480,4,Restaurants,Travel,Adventure travel,25.07261101894869,4.7286655009270095
481,5,Television programme,Restaurants,Software,24.847521746621577,27.510690938348695
482,5,Restaurants,Coffeehouses,Diners,15.913244960383505,6.474990167663605
483,3,Television programme,TV chat shows,TV comedies,9.139122405970019,14.89969959788999
484,4,Television programme,TV chat shows,TV comedies,17.10935731510073,23.552229930039243
485,4,Television programme,TV chat shows,TV comedies,8.542000977264014,13.043269713221232
486,4,Reading,Shoes,Sports,3.826399167502905,13.230935894508766
487,5,Restaurants,Coffeehouses,Diners,6.05975772817357,14.738699067898882
488,4,Restaurants,Politics and social issues,Televisions,0.09532099349221745,29.643575741532374
489,4,Films,Television programme,Restaurants,8.07577383473104,14.17040060537811
490,4,Restaurants,Consumer electronics,Video games,10.393108530626648,21.329994777904393
491,5,Television programme,TV chat shows,TV comedies,3.4292813958682107,8.233302871824467
492,4,Vehicles,4x4s,Automobiles,12.414709273959359,32.113844085686004
493,5,Television programme,TV chat shows,Restaurants,7.143364612297995,28.315813327121592
494,4,Live events,Food,Vehicles,8.107872081024066,33.51509609280044
495,4,Television programme,TV chat shows,TV comedies,16.93010619706522,11.964735907682934
496,4,Live events,Television programme,Arts and music,13.410712224874803,22.195431968800307
497,4,Television programme,TV chat shows,Travel,3.4631143896125307,23.08291908385938
498,4,Television programme,Restaurants,Coffeehouses,16.067661340025566,12.312755337315634
499,4,Television programme,TV chat shows,TV comedies,11.69781417940079,10.380306551017808
500,4,Television programme,TV chat shows,TV comedies,11.778329094151049,6.785276939894981
501,3,Pets,Vehicles,4x4s,12.099259670282215,6.284499702531749
502,4,Television programme,Food,Barbecue,5.519956542764312,5.838489062904969
503,4,Television programme,TV chat shows,TV comedies,2.0955328470500953,29.21996112011116
504,4,Restaurants,Coffeehouses,Diners,14.558518484789088,11.262352229052695
505,4,Television programme,TV chat shows,TV comedies,8.2726309991627,33.16182585002607
506,5,Restaurants,Computers,Computer memory,9.488461035921638,39.40224794407825
507,4,Television programme,TV chat shows,TV comedies,28.29797312361078,9.126062270855812
508,5,Live events,Restaurants,Coffeehouses,14.558585152810998,21.647235772773076
509,5,Television programme,TV chat shows,Arts and music,16.083059107335384,23.90595971599928
510,4,Television programme,TV chat shows,Restaurants,25.587781019325217,13.120857582187371
511,5,Television programme,TV chat shows,TV comedies,0.2622089098435918,9.63554555891471
512,4,Television programme,Restaurants,Travel,4.782332186609368,23.95725568282984
513,4,Restaurants,Coffeehouses,Arts and music,3.2291305407525472,12.27060535808539
514,4,Drinks,Restaurants,Coffeehouses,8.645492442906415,2.70859724768869
515,4,Vehicles,4x4s,Shoes,3.6272190882229163,25.620318302723312
516,5,Television programme,Travel,Vehicles,8.512243605139979,4.121706339534283
517,5,Television programme,TV chat shows,TV comedies,6.878463393097364,27.164180363100186
518,3,Alcoholic drink,Restaurants,Arts and music,8.860914931913372,36.566611517065354
519,5,Television programme,Restaurants,Sports,19.955964922734665,19.401284382902347
520,4,Vehicles,4x4s,Automobiles,19.006332543698008,18.568484928666127
521,4,Television programme,TV chat shows,TV comedies,7.5178159585113224,3.634272766217258
522,4,Television programme,Restaurants,Clothing,15.899653640533721,28.736831530338293
523,5,Television programme,TV chat shows,TV comedies,9.726561697317097,16.719042449090757
524,4,Restaurants,Coffeehouses,Diners,16.237452332119172,16.7509864748762
525,6,Television programme,TV chat shows,TV comedies,16.510541098389716,7.5276847387426375
526,5,Restaurants,Coffeehouses,Diners,12.099250818243844,16.739966575501136
527,4,Television programme,TV chat shows,TV comedies,14.340275862938249,25.377327330671108
528,3,Reading,Automobiles,Boats,8.353844727959666,9.970443399461296
529,4,Live events,Television programme,Restaurants,14.966301676972737,15.764625804990471
530,5,Music,Television programme,TV chat shows,5.203012301964934,0.3134847329899646
531,4,Restaurants,Coffeehouses,Diners,2.762121692665879,19.039985109195516
532,4,Pop music,Restaurants,Coffeehouses,18.797033476316273,21.77658941161184
533,5,Television programme,Restaurants,Shopping,31.476558654628512,21.687579509929396
534,5,Reading,Television programme,Restaurants,24.509456656477333,20.96517168918868
535,4,Games,Music,Restaurants,19.85629912002989,31.914982268212533
536,5,Home and garden,Vehicles,4x4s,10.738887422567629,33.90799055641098
537,5,Reading,Television programme,TV chat shows,19.923738002077968,37.197187778048196
538,4,Restaurants,Coffeehouses,Diners,18.78160209130324,4.4069825349467795
539,5,Family,Vehicles,Beauty,7.413234052855993,7.161560894657553
540,3,Films,Restaurants,Consumer electronics,12.168002389958033,18.4125620490084
541,4,Television programme,Restaurants,Travel,9.303118038986637,26.778284410082264
542,4,Personal finance,Vehicles,4x4s,10.072530111450146,6.952019410020922
543,4,Music,Sports,Televisions,14.564788864257917,21.12297268405159
544,5,Vehicles,4x4s,Automobiles,3.3064549142497297,28.348490998318372
545,5,Films,Television programme,TV chat shows,6.342096625214252,7.459610352163306
546,5,Reading,Restaurants,Coffeehouses,9.166138747584256,20.90769493982107
547,4,Personal finance,Films,Television programme,9.135989532443002,10.503553813395234
548,4,Restaurants,Coffeehouses,Diners,12.643993003171081,16.587812552596628
549,5,Television programme,Restaurants,Arts and music,18.087555391007236,26.376292249168056
550,4,Television programme,Restaurants,Coffeehouses,5.647693840957408,23.855274144377507
551,4,Restaurants,Coffeehouses,Diners,7.685971931171594,22.019724341342155
552,4,Television programme,Pets,Birds,9.455769488109816,9.124582507454853
553,5,Drinks,Coffee,Sports,6.403872769287132,13.426390914671101
554,5,Television programme,TV chat shows,TV comedies,15.66696047628081,15.887537988735103
555,3,Television programme,Restaurants,Sports,9.24428703276344,30.800642791399632
556,4,Television programme,Arts and music,Acting,10.896148366200956,5.848407029094261
557,5,Restaurants,Coffeehouses,Diners,7.222509132409359,18.26886021166641
558,4,Music,Restaurants,Coffeehouses,15.973522427976723,8.614428544901774
559,4,Films,Music,Television programme,6.833256331738756,23.02676396338525
560,5,Music,Television programme,Restaurants,12.322543903492036,18.82211610987012
561,3,Personal finance,Television programme,TV chat shows,11.814332282756162,5.057094188500317
562,4,Television programme,Restaurants,Vehicles,5.322661899263551,6.704024179788095
563,4,Television programme,Pets,Birds,7.081514269274199,20.659963471229126
564,4,Personal finance,Alcoholic drink,Vehicles,6.414374766598964,9.708381069012926
565,5,Live events,Reading,Television programme,12.345240735696384,20.548437640212597
566,5,Restaurants,Coffeehouses,Sports,14.777319855175916,26.960107456998415
567,4,Pop music,Television programme,TV chat shows,5.100513556256921,20.408113603868756
568,3,Reading,Restaurants,Coffeehouses,8.74259693822569,21.01886581191789
569,4,Sales,Vehicles,4x4s,18.72355789132589,27.939570243257457
570,4,Television programme,TV chat shows,TV comedies,13.281479306153889,29.389322926957565
571,5,Restaurants,Sports,Television programme,4.572925465377727,14.721733167899027
572,5,Music videos,Shoes,Fashion accessories,17.156429700448886,9.502019393782568
573,5,Television programme,Restaurants,Arts and music,6.106087607592952,4.769353530225404
574,4,Television programme,Pets,Birds,12.571302604542192,19.62450092626907
575,4,Restaurants,Coffeehouses,Diners,14.829211573594954,28.951053421447853
576,4,Music,Pets,Shoes,13.013237310627504,7.0200041192346605
577,4,Films,Music,Television programme,1.4556354182414282,16.382519263479526
578,4,Television programme,TV chat shows,TV comedies,17.98522867759415,14.057249357412347
579,5,Music,Television programme,TV chat shows,8.480065522598952,15.780103127502318
580,4,Music,Vehicles,4x4s,11.61722838788698,23.49291611597695
581,5,Sales,Television programme,TV chat shows,27.60122358785678,20.194072412289394
582,5,Television programme,TV chat shows,TV comedies,5.949469303412443,28.398324964998892
583,5,Television programme,Restaurants,Vehicles,7.026962466983414,19.856360692912634
584,4,Vehicles,4x4s,Automobiles,25.71282458985806,33.82025714159092
585,5,Restaurants,Coffeehouses,Diners,16.971433553714274,19.219880483242676
586,2,Television programme,Food,Restaurants,3.2974421547806427,24.428575070769696
587,4,Television programme,TV chat shows,TV comedies,14.490081051976603,11.314466086669519
588,5,Live events,Drinks,Cosmetics,16.672088371229048,30.509373147897165
589,3,Reading,Restaurants,Coffeehouses,12.114668816327427,18.77218176196857
590,4,Music videos,Food,Arts and music,6.043932118438057,22.514222617240517
591,6,Television programme,TV chat shows,Restaurants,2.300770496883387,0.48019095106807264
592,4,Restaurants,Politics and social issues,Travel,23.601498824225715,7.361698429808408
593,4,Games,Music,Travel,16.89226687973309,23.88493386168298
594,5,Music,Restaurants,Coffeehouses,22.053119398094765,4.721197345580393
595,4,Restaurants,Coffeehouses,Diners,9.559887037178372,18.74353086320844
596,4,Restaurants,Photography,Travel,6.4469912581685715,14.023973747075237
597,5,Television programme,Restaurants,Coffeehouses,14.876008518566476,12.441783990344167
598,5,Television programme,TV chat shows,TV comedies,12.238969825219392,19.952869933527527
599,5,Live events,Television programme,Home and garden,14.735352739615712,29.27509877911541
600,3,Television programme,Restaurants,Televisions,13.26709460053623,18.133381161608014
601,4,Rock music,Television programme,TV chat shows,23.525501771839537,12.787370434203236
602,4,Television programme,Restaurants,Vehicles,2.0498271516613213,42.61437643455881
603,3,Television programme,TV chat shows,Arts and music,8.668518320988749,2.9804179886364164
604,5,Television programme,Restaurants,Sports,9.492773928069031,3.9641133151489747
605,5,Films,Reading,Television programme,22.892806264425197,16.57957129769421
606,5,Television programme,TV chat shows,Pets,2.9670681234683034,23.93272409838977
607,4,Sales,Television programme,Drinks,24.864104153661057,6.667861365072275
608,4,Television programme,TV chat shows,TV comedies,5.553737585721876,21.14451123662755
609,5,Television programme,TV chat shows,Restaurants,16.356340578117024,17.144370250886194
610,5,Television programme,Alcoholic drink,Restaurants,8.30364518297178,18.258105416715782
611,4,Live events,Television programme,Restaurants,18.7266658445388,2.7917374061216567
612,4,Television programme,TV chat shows,Restaurants,13.161187232012114,8.775915080312215
613,5,Live events,Television programme,Restaurants,20.579027379147092,24.505911029621863
614,5,Television programme,TV chat shows,TV comedies,10.750169829615583,16.387894108644634
615,4,Restaurants,Coffeehouses,Diners,10.022340631738581,9.217476696303876
616,4,Restaurants,Coffeehouses,Mobile phones,1.2226823429312983,18.438771481848214
617,5,Television programme,Arts and music,Acting,13.815622380027172,12.11098572794929
618,5,Television programme,TV chat shows,TV comedies,3.9339272577499527,3.2220602169657973
619,4,Restaurants,Coffeehouses,Diners,0.9365703156448184,20.240265029587345
620,5,Television programme,TV chat shows,TV comedies,7.963480676478414,15.248559938348386
621,5,Television programme,Arts and music,Acting,10.753114093030604,5.561236550083075
622,5,Restaurants,Consumer electronics,Rock music,8.530028385754619,14.349821856248399
623,5,Television programme,TV chat shows,Restaurants,24.67058642189734,12.124141808835299
624,4,Television programme,Friendship,Restaurants,7.042039962908049,8.123915084705686
625,4,Television programme,TV chat shows,TV comedies,19.78444538355903,17.525334449584655
626,4,Television programme,Restaurants,Online shopping,14.509445067691829,13.580493472296286
627,5,Restaurants,Coffeehouses,Diners,5.986261523400105,19.29128141912185
628,4,Television programme,Restaurants,Fashion accessories,7.590248389248119,7.158672252641568
629,4,Restaurants,Coffeehouses,Diners,7.7852669031391235,7.115794333719784
630,4,Television programme,TV chat shows,TV comedies,1.675944733538464,43.78231380727027
631,4,Music,Television programme,TV chat shows,15.497546999094816,0.2354033351295879
632,5,Vehicles,4x4s,Automobiles,3.4879738478516185,15.077444967407875
633,4,Television programme,TV chat shows,TV comedies,12.48054406866206,7.562092858408011
634,4,Restaurants,Coffeehouses,Diners,3.229699227745365,24.32401583330249
635,4,Television programme,TV chat shows,TV comedies,12.572578858154493,9.675265350172133
636,3,Television programme,TV chat shows,TV comedies,10.391145087247398,23.21233438815435
637,4,Television programme,Restaurants,Mobile phones,5.6305302282806,1.570352425932061
638,4,Television programme,TV chat shows,TV comedies,5.6412049910050355,18.356220820547662
639,5,Television programme,TV chat shows,Restaurants,19.634484142119295,11.356817493720303
640,5,Business,Television programme,Restaurants,12.239891615287132,0.3926977799324032
641,4,Travel,Vehicles,4x4s,7.9535483221570695,29.886978917938045
642,4,Music videos,Television programme,TV chat shows,6.109973735375877,17.292978410032063
643,5,Television programme,Food,Restaurants,11.37425579176599,20.24216556045839
644,4,Restaurants,Coffeehouses,Consumer electronics,21.916128410192833,13.78897747596162
645,5,Personal finance,Pets,Vehicles,6.943020806674377,20.2551995658435
646,4,Television programme,TV chat shows,TV comedies,13.011321809054069,17.431606084229664
647,4,Music,Television programme,TV chat shows,8.145834720033623,28.182033115253276
648,4,Television programme,TV chat shows,TV comedies,3.2228798474083913,7.737699313734696
649,5,Television programme,Restaurants,Mobile phones,14.102055679993644,19.85090812593208
650,4,Restaurants,Coffeehouses,Sports,5.62047835922509,19.08108175338265
651,5,Television programme,Restaurants,Vehicles,7.567341732602975,19.933686652495453
652,4,Restaurants,Coffeehouses,Consumer electronics,11.147121763203849,8.764292860799216
653,3,Television programme,Restaurants,Home and garden,5.877481867308717,32.356056272244466
654,4,Live events,Drinks,Restaurants,13.968446774133156,27.629416368144035
655,4,Friendship,Vehicles,4x4s,10.646107602941495,8.316454054686456
656,4,Games,Action games,Sports,10.121366386504036,8.015981601592738
657,5,Drinks,Restaurants,Coffeehouses,21.82109124404947,14.182631908066567
658,4,Television programme,Travel,Consumer electronics,7.6450523677126085,9.860528269222868
659,4,Television programme,TV chat shows,TV comedies,12.579622873698172,17.52946291960772
660,4,Television programme,Restaurants,Coffeehouses,8.457027728818407,22.104825053371002
661,5,Music videos,Clothing,Mobile phones,10.180896681769953,39.649094916083605
662,4,Restaurants,Coffeehouses,Diners,12.189643596352603,34.64199969540317
663,5,Pop music,Television programme,Restaurants,16.228451528262475,21.14666758426037
664,4,Television programme,TV chat shows,TV comedies,4.084018123416871,20.6648472351792
665,4,Restaurants,Coffeehouses,Diners,5.432333540394075,7.086815986204026
666,4,Television programme,Politics and social issues,Charity and causes,20.96704172981427,8.4603712416678
667,4,Live events,Television programme,Restaurants,5.694455768745757,1.1099841378530293
668,5,Television programme,TV chat shows,TV comedies,7.64310642204531,8.72722557943634
669,4,Television programme,Restaurants,Vehicles,13.588019817140967,38.532508769613415
670,5,Television programme,TV chat shows,TV comedies,26.65335682692173,16.030482887749205
671,4,Television programme,Restaurants,Sports,19.20254114287364,31.757221998013243
672,3,Television programme,Arts and music,Acting,22.112295960082925,14.458879836429405
673,4,Live events,Music,Travel,11.126330857162248,8.458534788231244
674,4,Television programme,TV chat shows,Restaurants,11.865683648157747,6.4037799807254645
675,4,Television programme,TV chat shows,Restaurants,20.117235411036763,13.001392662769822
676,5,Television programme,Restaurants,Consumer electronics,7.060901510561861,16.235218493126034
677,3,Television programme,TV chat shows,Restaurants,21.442820560514008,8.487681152645088
678,4,Television programme,TV chat shows,TV comedies,7.281690003929139,9.910328163443051
679,4,Television programme,TV chat shows,TV comedies,13.195821980026679,29.289167138683325
680,4,Television programme,TV chat shows,TV comedies,5.315349129433138,6.5683837011490125
681,5,Games,Restaurants,Mobile phones,2.5212940823080174,25.79200818214086
682,5,Music,Restaurants,Coffeehouses,5.890108649389687,22.16746777136643
683,5,Television programme,Pets,Birds,4.844050020845284,0.48476810164354767
684,4,Television programme,Restaurants,Shopping,5.840903130481154,10.293808294845789
685,5,Reading,Restaurants,Coffeehouses,15.050698544896589,7.399063590086069
686,4,Television programme,Restaurants,Vehicles,8.916800003343925,21.13259385431313
687,5,Music,Restaurants,Coffeehouses,9.966526488628444,6.5914426397785535
688,5,Television programme,TV chat shows,TV comedies,13.151899793262086,17.473706204723293
689,5,Television programme,TV chat shows,Restaurants,7.2580213217143,27.904733217688648
690,4,Television programme,Restaurants,Sports,10.618711583280662,13.483105604707461
691,3,Music,Television programme,TV chat shows,9.337095800261526,1.8151868790549806
692,5,Pop music,Restaurants,Coffeehouses,5.013119763769871,13.038576237244978
693,5,Television programme,TV chat shows,TV comedies,14.066068206295135,16.45653425176417
694,4,Films,Fashion accessories,Sports,14.998347342145653,10.67296306888223
695,4,Television programme,TV chat shows,TV comedies,15.407057425097587,20.975121493934587
696,4,Television programme,TV chat shows,Travel,9.274290697448695,16.182072077125785
697,5,Television programme,Restaurants,Vehicles,16.00058369168218,23.542797200875206
698,4,Television programme,Restaurants,Politics and social issues,3.0641867044666506,15.476621539968704
699,5,Restaurants,Coffeehouses,Consumer electronics,3.8375086278826034,16.429844816090025
700,4,Television programme,Restaurants,Pets,9.703777039495003,12.025659979906365
701,4,Restaurants,Pets,Birds,4.811054557824302,26.69527176964209
702,5,Sales,Sports,Consumer electronics,6.085322541896916,11.455516728240603
703,5,Films,Television programme,TV chat shows,7.504791317967372,18.718587133125933
704,5,Television programme,TV chat shows,TV comedies,6.96753989349491,16.46927876104282
705,4,Television programme,TV chat shows,TV comedies,11.793741745624398,16.712020564416065
706,5,Music,Television programme,TV chat shows,9.408687443231688,27.73069322207592
707,4,Music,Reading,Football,16.158056855438566,19.677488061568962
708,5,Television programme,TV chat shows,TV comedies,16.2956627144531,27.183811255672204
709,4,Restaurants,Arts and music,Acting,20.080317216510203,18.49704195497653
710,4,Television programme,Restaurants,Vehicles,10.154603639546949,9.140138683727464
711,4,Friendship,Computers,Computer memory,4.603656247982308,19.7335848873579
712,5,Television programme,Restaurants,Coffeehouses,7.056617407522016,13.751719367475168
713,4,Television programme,Home and garden,DIY,4.830148080976222,17.56439428689705
714,4,Pop music,Beauty,Sports,20.641838601431076,20.300599580939295
715,4,Food,Restaurants,Coffeehouses,8.551393747527085,11.10697725212485
716,3,Rock music,Restaurants,Coffeehouses,11.174430451318747,19.063869154613847
717,3,Reading,Television programme,TV chat shows,4.735708182061529,14.145858335104807
718,4,Television programme,TV chat shows,TV comedies,17.76273749235926,18.449046529555943
719,4,Games,Restaurants,Coffeehouses,6.457576344342945,1.9968510928550653
720,5,Television programme,Restaurants,Clothing,5.644272024768671,27.054677882666308
721,4,Television programme,Drinks,Coffee,16.34743174410702,19.685569846395843
722,4,Music,Restaurants,Coffeehouses,14.073243187970267,21.163736621605175
723,5,Video games,Television programme,Restaurants,30.744603482027628,27.632082223129697
724,5,Television programme,Drinks,Coffee,21.81037637924622,16.44381109923433
725,5,Football,Computers,Computer memory,8.25628849288474,11.970318755417846
726,3,Drinks,Restaurants,Coffeehouses,14.111233470140725,6.722472638800518
727,4,Restaurants,Coffeehouses,Diners,14.807126997626323,36.50848723252944
728,4,Restaurants,Coffeehouses,Diners,0.35042234169821107,8.217706922739811
729,5,Restaurants,Sports,Television programme,1.45221615270302,12.453417817420942
730,5,Films,Action films,Sports,8.037683706036306,28.97602455088576
731,3,Food,Vehicles,4x4s,4.198194156321594,11.87650771284153
732,4,Television programme,Restaurants,Arts and music,13.082719926129759,1.824979602436139
733,5,Television programme,Food,Barbecue,11.340440702333273,22.54858799854221
734,5,Restaurants,Coffeehouses,Diners,5.7345690452561175,12.07025706671359
735,4,Reading,Television programme,Food,20.75245100889469,10.604503202484327
736,4,Television programme,TV chat shows,TV comedies,13.45494668094596,38.8127774362202
737,5,Music,Restaurants,Televisions,13.490498133638754,6.183176423325663
738,2,Restaurants,Coffeehouses,Diners,18.069976469830664,11.856569512409024
739,5,Music,Restaurants,Coffeehouses,14.859273603889413,15.088119705189314
740,5,Rock music,Television programme,TV chat shows,16.56209676073812,22.994144098568135
741,3,Films,Television programme,Drinks,0.655392197913578,22.90093941926193
742,5,Television programme,Restaurants,Travel,3.9926486875753184,21.55779271919123
743,4,Television programme,Restaurants,Vehicles,12.782514812414904,20.244782569127505
744,4,Films,Music,Restaurants,4.594492869594418,18.795665418798468
745,4,Television programme,Restaurants,Vehicles,7.8999493294699885,4.566903618325023
746,3,Television programme,TV chat shows,Restaurants,15.443883040846414,2.0951426411565137
747,6,Rock music,Sports,Live events,8.365448387770144,16.62795702503583
748,4,Television programme,TV chat shows,TV comedies,3.669557453736166,34.368794864858124
749,3,Television programme,TV chat shows,Restaurants,5.763841697677007,21.446927291954285
750,4,Television programme,Restaurants,Arts and music,10.602034319277246,41.17535869922216
751,5,Films,Television programme,TV chat shows,18.31476845293871,21.80755745772256
752,5,Restaurants,Coffeehouses,Diners,4.0699514462644135,20.459012725797336
753,3,Music,Television programme,TV chat shows,11.361778428099528,25.602532252517307
754,4,Business,Games,Sports,6.131785790743367,22.80712580109946
755,4,Friendship,Restaurants,Sports,12.697671327063496,34.30424110759802
756,3,Restaurants,Coffeehouses,Sports,9.576458260483951,32.307623099952565
757,3,Television programme,Restaurants,Coffeehouses,7.4677812992310315,19.99535044565763
758,5,Video games,Television programme,Restaurants,9.024597806101195,19.27556923130702
759,4,Television programme,TV chat shows,TV comedies,7.157695656115982,35.316297393508634
760,5,Television programme,TV chat shows,Restaurants,16.622104740819466,7.602462202867781
